Time,p0.9
11/3/2025 21:00,15.7 ms
11/3/2025 21:00,30.9 ms
11/3/2025 21:00,14.7 ms
11/3/2025 21:00,14.7 ms
11/3/2025 21:00,35.1 ms
11/3/2025 21:00,20.4 ms
11/3/2025 21:00,47.7 ms
11/3/2025 21:01,13.6 ms
11/3/2025 21:01,12.8 ms
11/3/2025 21:01,21.8 ms
11/3/2025 21:01,25.7 ms
11/3/2025 21:01,12.6 ms
11/3/2025 21:01,13.6 ms
11/3/2025 21:01,12.8 ms
11/3/2025 21:01,13.9 ms
11/3/2025 21:01,12.8 ms
11/3/2025 21:01,12.8 ms
11/3/2025 21:01,28.0 ms
11/3/2025 21:01,43.5 ms
11/3/2025 21:02,12.8 ms
11/3/2025 21:02,13.6 ms
11/3/2025 21:02,13.6 ms
11/3/2025 21:02,43.8 ms
11/3/2025 21:02,11.5 ms
11/3/2025 21:02,21.5 ms
11/3/2025 21:02,12.6 ms
11/3/2025 21:02,35.4 ms
11/3/2025 21:02,11.8 ms
11/3/2025 21:02,17.3 ms
11/3/2025 21:02,12.8 ms
11/3/2025 21:02,35.4 ms
11/3/2025 21:03,17.3 ms
11/3/2025 21:03,30.9 ms
11/3/2025 21:03,14.9 ms
11/3/2025 21:03,12.8 ms
11/3/2025 21:03,11.8 ms
11/3/2025 21:03,12.8 ms
11/3/2025 21:03,14.9 ms
11/3/2025 21:03,14.9 ms
11/3/2025 21:03,13.6 ms
11/3/2025 21:03,21.5 ms
11/3/2025 21:03,24.6 ms
11/3/2025 21:03,29.1 ms
11/3/2025 21:04,13.6 ms
11/3/2025 21:04,15.7 ms
11/3/2025 21:04,12.6 ms
11/3/2025 21:04,37.2 ms
11/3/2025 21:04,13.6 ms
11/3/2025 21:04,13.6 ms
11/3/2025 21:04,13.6 ms
11/3/2025 21:04,27.8 ms
11/3/2025 21:04,12.8 ms
11/3/2025 21:04,30.9 ms
11/3/2025 21:04,21.5 ms
11/3/2025 21:04,12.8 ms
11/3/2025 21:05,13.6 ms
11/3/2025 21:05,19.4 ms
11/3/2025 21:05,21.5 ms
11/3/2025 21:05,12.8 ms
11/3/2025 21:05,14.9 ms
11/3/2025 21:05,12.8 ms
11/3/2025 21:05,12.6 ms
11/3/2025 21:05,31.2 ms
11/3/2025 21:05,11.5 ms
11/3/2025 21:05,11.8 ms
11/3/2025 21:05,13.6 ms
11/3/2025 21:05,10.7 ms
11/3/2025 21:06,12.6 ms
11/3/2025 21:06,13.9 ms
11/3/2025 21:06,12.6 ms
11/3/2025 21:06,11.8 ms
11/3/2025 21:06,45.9 ms
11/3/2025 21:06,10.7 ms
11/3/2025 21:06,21.8 ms
11/3/2025 21:06,19.7 ms
11/3/2025 21:06,13.9 ms
11/3/2025 21:06,20.7 ms
11/3/2025 21:06,21.8 ms
11/3/2025 21:06,17.6 ms
11/3/2025 21:07,13.9 ms
11/3/2025 21:07,14.9 ms
11/3/2025 21:07,17.6 ms
11/3/2025 21:07,18.6 ms
11/3/2025 21:07,14.9 ms
11/3/2025 21:07,21.8 ms
11/3/2025 21:07,20.7 ms
11/3/2025 21:07,17.6 ms
11/3/2025 21:07,13.9 ms
11/3/2025 21:07,22.8 ms
11/3/2025 21:07,20.7 ms
11/3/2025 21:07,14.7 ms
11/3/2025 21:08,14.9 ms
11/3/2025 21:08,18.6 ms
11/3/2025 21:08,19.4 ms
11/3/2025 21:08,17.6 ms
11/3/2025 21:08,13.9 ms
11/3/2025 21:08,20.7 ms
11/3/2025 21:08,17.6 ms
11/3/2025 21:08,20.7 ms
11/3/2025 21:08,13.9 ms
11/3/2025 21:08,13.9 ms
11/3/2025 21:08,17.6 ms
11/3/2025 21:08,20.7 ms
11/3/2025 21:09,13.9 ms
11/3/2025 21:09,17.6 ms
11/3/2025 21:09,14.9 ms
11/3/2025 21:09,16.0 ms
11/3/2025 21:09,13.9 ms
11/3/2025 21:09,17.6 ms
11/3/2025 21:09,16.0 ms
11/3/2025 21:09,17.6 ms
11/3/2025 21:09,13.9 ms
11/3/2025 21:09,14.7 ms
11/3/2025 21:09,20.7 ms
11/3/2025 21:09,18.6 ms
11/3/2025 21:10,13.9 ms
11/3/2025 21:10,16.0 ms
11/3/2025 21:10,16.0 ms
11/3/2025 21:10,16.0 ms
11/3/2025 21:10,13.9 ms
11/3/2025 21:10,17.6 ms
11/3/2025 21:10,18.6 ms
11/3/2025 21:10,16.0 ms
11/3/2025 21:10,13.9 ms
11/3/2025 21:10,16.0 ms
11/3/2025 21:10,18.6 ms
11/3/2025 21:10,21.8 ms
11/3/2025 21:11,12.8 ms
11/3/2025 21:11,21.8 ms
11/3/2025 21:11,13.9 ms
11/3/2025 21:11,24.9 ms
11/3/2025 21:11,17.6 ms
11/3/2025 21:11,39.6 ms
11/3/2025 21:11,21.8 ms
11/3/2025 21:11,32.2 ms
11/3/2025 21:11,16.0 ms
11/3/2025 21:11,24.9 ms
11/3/2025 21:11,23.9 ms
11/3/2025 21:11,37.5 ms
11/3/2025 21:12,17.6 ms
11/3/2025 21:12,26.0 ms
11/3/2025 21:12,21.8 ms
11/3/2025 21:12,35.4 ms
11/3/2025 21:12,16.0 ms
11/3/2025 21:12,28.0 ms
11/3/2025 21:12,21.8 ms
11/3/2025 21:12,31.2 ms
11/3/2025 21:12,16.0 ms
11/3/2025 21:12,23.9 ms
11/3/2025 21:12,21.8 ms
11/3/2025 21:12,31.2 ms
11/3/2025 21:13,17.6 ms
11/3/2025 21:13,24.9 ms
11/3/2025 21:13,23.9 ms
11/3/2025 21:13,32.2 ms
11/3/2025 21:13,17.6 ms
11/3/2025 21:13,35.4 ms
11/3/2025 21:13,26.0 ms
11/3/2025 21:13,33.3 ms
11/3/2025 21:13,17.6 ms
11/3/2025 21:13,22.8 ms
11/3/2025 21:13,24.9 ms
11/3/2025 21:13,31.2 ms
11/3/2025 21:14,18.6 ms
11/3/2025 21:14,20.7 ms
11/3/2025 21:14,20.7 ms
11/3/2025 21:14,32.2 ms
11/3/2025 21:14,18.6 ms
11/3/2025 21:14,26.0 ms
11/3/2025 21:14,33.3 ms
11/3/2025 21:14,33.3 ms
11/3/2025 21:14,13.9 ms
11/3/2025 21:14,21.8 ms
11/3/2025 21:14,24.9 ms
11/3/2025 21:14,35.4 ms
11/3/2025 21:15,20.7 ms
11/3/2025 21:15,21.8 ms
11/3/2025 21:15,13.9 ms
11/3/2025 21:15,30.1 ms
11/3/2025 21:15,12.8 ms
11/3/2025 21:15,32.2 ms
11/3/2025 21:15,31.2 ms
11/3/2025 21:15,35.4 ms
11/3/2025 21:15,12.8 ms
11/3/2025 21:15,26.0 ms
11/3/2025 21:15,17.6 ms
11/3/2025 21:15,27.0 ms
11/3/2025 21:16,13.9 ms
11/3/2025 21:16,21.8 ms
11/3/2025 21:16,19.7 ms
11/3/2025 21:16,21.8 ms
11/3/2025 21:16,12.8 ms
11/3/2025 21:16,28.0 ms
11/3/2025 21:16,43.8 ms
11/3/2025 21:16,30.1 ms
11/3/2025 21:16,11.8 ms
11/3/2025 21:16,22.8 ms
11/3/2025 21:16,19.7 ms
11/3/2025 21:16,35.4 ms
11/3/2025 21:17,16.0 ms
11/3/2025 21:17,45.9 ms
11/3/2025 21:17,30.1 ms
11/3/2025 21:17,35.4 ms
11/3/2025 21:17,14.9 ms
11/3/2025 21:17,39.6 ms
11/3/2025 21:17,28.2 ms
11/3/2025 21:17,52.2 ms
11/3/2025 21:17,21.8 ms
11/3/2025 21:17,43.8 ms
11/3/2025 21:17,48.0 ms
11/3/2025 21:17,37.5 ms
11/3/2025 21:18,24.9 ms
11/3/2025 21:18,39.6 ms
11/3/2025 21:18,23.9 ms
11/3/2025 21:18,39.6 ms
11/3/2025 21:18,16.0 ms
11/3/2025 21:18,27.0 ms
11/3/2025 21:18,23.9 ms
11/3/2025 21:18,41.7 ms
11/3/2025 21:18,16.0 ms
11/3/2025 21:18,37.5 ms
11/3/2025 21:18,39.6 ms
11/3/2025 21:18,39.6 ms
11/3/2025 21:19,19.7 ms
11/3/2025 21:19,43.8 ms
11/3/2025 21:19,21.8 ms
11/3/2025 21:19,37.5 ms
11/3/2025 21:19,20.7 ms
11/3/2025 21:19,21.8 ms
11/3/2025 21:19,22.8 ms
11/3/2025 21:19,56.4 ms
11/3/2025 21:19,14.9 ms
11/3/2025 21:19,16.0 ms
11/3/2025 21:19,19.7 ms
11/3/2025 21:19,837 ms
11/3/2025 21:20,129 ms
11/3/2025 21:20,142 ms
11/3/2025 21:20,105 ms
11/3/2025 21:20,117 ms
11/3/2025 21:20,18.6 ms
11/3/2025 21:20,19.7 ms
11/3/2025 21:20,48.0 ms
11/3/2025 21:20,33.3 ms
11/3/2025 21:20,13.9 ms
11/3/2025 21:20,21.8 ms
11/3/2025 21:20,17.6 ms
11/3/2025 21:20,18.6 ms
11/3/2025 21:21,13.6 ms
11/3/2025 21:21,21.8 ms
11/3/2025 21:21,14.9 ms
11/3/2025 21:21,17.6 ms
11/3/2025 21:21,13.9 ms
11/3/2025 21:21,35.4 ms
11/3/2025 21:21,14.9 ms
11/3/2025 21:21,23.9 ms
11/3/2025 21:21,14.9 ms
11/3/2025 21:21,18.6 ms
11/3/2025 21:21,17.3 ms
11/3/2025 21:21,91.8 ms
11/3/2025 21:22,14.9 ms
11/3/2025 21:22,41.4 ms
11/3/2025 21:22,96.2 ms
11/3/2025 21:22,92.0 ms
11/3/2025 21:22,100 ms
11/3/2025 21:22,100 ms
11/3/2025 21:22,100 ms
11/3/2025 21:22,100 ms
11/3/2025 21:22,64.7 ms
11/3/2025 21:22,21.8 ms
11/3/2025 21:22,32.2 ms
11/3/2025 21:22,43.8 ms
11/3/2025 21:23,16.0 ms
11/3/2025 21:23,20.7 ms
11/3/2025 21:23,16.0 ms
11/3/2025 21:23,39.3 ms
11/3/2025 21:23,92.3 ms
11/3/2025 21:23,64.7 ms
11/3/2025 21:23,50.1 ms
11/3/2025 21:23,66.8 ms
11/3/2025 21:23,54.3 ms
11/3/2025 21:23,21.5 ms
11/3/2025 21:23,51.4 ms
11/3/2025 21:23,37.5 ms
11/3/2025 21:24,45.6 ms
11/3/2025 21:24,60.3 ms
11/3/2025 21:24,87.6 ms
11/3/2025 21:24,86.0 ms
11/3/2025 21:24,87.6 ms
11/3/2025 21:24,43.5 ms
11/3/2025 21:24,13.9 ms
11/3/2025 21:24,17.6 ms
11/3/2025 21:24,104 ms
11/3/2025 21:24,41.4 ms
11/3/2025 21:24,87.8 ms
11/3/2025 21:24,100 ms
11/3/2025 21:25,100 ms
11/3/2025 21:25,19.7 ms
11/3/2025 21:25,16.0 ms
11/3/2025 21:25,21.8 ms
11/3/2025 21:25,14.9 ms
11/3/2025 21:25,19.4 ms
11/3/2025 21:25,14.9 ms
11/3/2025 21:25,18.4 ms
11/3/2025 21:25,79.2 ms
11/3/2025 21:25,13.9 ms
11/3/2025 21:25,71.0 ms
11/3/2025 21:25,95.9 ms
11/3/2025 21:26,15.7 ms
11/3/2025 21:26,19.7 ms
11/3/2025 21:26,43.5 ms
11/3/2025 21:26,19.4 ms
11/3/2025 21:26,0 ms
11/3/2025 21:26,0 ms
11/3/2025 21:26,0 ms
11/3/2025 21:26,0 ms
11/3/2025 21:26,0 ms
11/3/2025 21:26,92.0 ms
11/3/2025 21:26,75.2 ms
11/3/2025 21:26,96.2 ms
11/3/2025 21:27,66.8 ms
11/3/2025 21:27,105 ms
11/3/2025 21:27,66.8 ms
11/3/2025 21:27,91.8 ms
11/3/2025 21:27,92.0 ms
11/3/2025 21:27,96.2 ms
11/3/2025 21:27,26.0 ms
11/3/2025 21:27,26.0 ms
11/3/2025 21:27,37.5 ms
11/3/2025 21:27,37.5 ms
11/3/2025 21:27,28.0 ms
11/3/2025 21:27,27.0 ms
11/3/2025 21:28,13.9 ms
11/3/2025 21:28,27.0 ms
11/3/2025 21:28,26.0 ms
11/3/2025 21:28,30.1 ms
11/3/2025 21:28,19.7 ms
11/3/2025 21:28,48.0 ms
11/3/2025 21:28,26.0 ms
11/3/2025 21:28,26.0 ms
11/3/2025 21:28,12.8 ms
11/3/2025 21:28,20.7 ms
11/3/2025 21:28,58.5 ms
11/3/2025 21:28,43.8 ms
11/3/2025 21:29,54.3 ms
11/3/2025 21:29,37.5 ms
11/3/2025 21:29,24.9 ms
11/3/2025 21:29,10.7 ms
11/3/2025 21:29,13.9 ms
11/3/2025 21:29,11.8 ms
11/3/2025 21:29,15.7 ms
11/3/2025 21:29,10.7 ms
11/3/2025 21:29,11.8 ms
11/3/2025 21:29,11.8 ms
11/3/2025 21:29,14.9 ms
11/3/2025 21:29,10.2 ms
11/3/2025 21:30,11.5 ms
11/3/2025 21:30,10.7 ms
11/3/2025 21:30,13.9 ms
11/3/2025 21:30,31.2 ms
11/3/2025 21:30,12.8 ms
11/3/2025 21:30,17.3 ms
11/3/2025 21:30,45.9 ms
11/3/2025 21:30,37.5 ms
11/3/2025 21:30,17.6 ms
11/3/2025 21:30,20.7 ms
11/3/2025 21:30,45.9 ms
11/3/2025 21:30,104 ms
11/3/2025 21:31,43.8 ms
11/3/2025 21:31,41.7 ms
11/3/2025 21:31,17.6 ms
11/3/2025 21:31,13.6 ms
11/3/2025 21:31,17.3 ms
11/3/2025 21:31,100 ms
11/3/2025 21:31,109 ms
11/3/2025 21:31,15.7 ms
11/3/2025 21:31,17.3 ms
11/3/2025 21:31,21.8 ms
11/3/2025 21:31,54.0 ms
11/3/2025 21:31,19.4 ms
11/3/2025 21:32,79.2 ms
11/3/2025 21:32,70.8 ms
11/3/2025 21:32,13.6 ms
11/3/2025 21:32,27.8 ms
11/3/2025 21:32,12.6 ms
11/3/2025 21:32,31.2 ms
11/3/2025 21:32,71.0 ms
11/3/2025 21:32,12.8 ms
11/3/2025 21:32,12.8 ms
11/3/2025 21:32,10.7 ms
11/3/2025 21:32,12.8 ms
11/3/2025 21:32,27.0 ms
11/3/2025 21:33,13.9 ms
11/3/2025 21:33,149 ms
11/3/2025 21:33,90.2 ms
11/3/2025 21:33,15.7 ms
11/3/2025 21:33,45.6 ms
11/3/2025 21:33,58.2 ms
11/3/2025 21:33,49.8 ms
11/3/2025 21:33,49.8 ms
11/3/2025 21:33,0 ms
11/3/2025 21:33,0 ms
11/3/2025 21:33,0 ms
11/3/2025 21:33,21.5 ms
11/3/2025 21:34,71.0 ms
11/3/2025 21:34,79.2 ms
11/3/2025 21:34,62.7 ms
11/3/2025 21:34,104 ms
11/3/2025 21:34,83.4 ms
11/3/2025 21:34,100 ms
11/3/2025 21:34,100 ms
11/3/2025 21:34,105 ms
11/3/2025 21:34,96.2 ms
11/3/2025 21:34,92.0 ms
11/3/2025 21:34,11.8 ms
11/3/2025 21:34,37.5 ms
11/3/2025 21:35,75.2 ms
11/3/2025 21:35,64.7 ms
11/3/2025 21:35,27.0 ms
11/3/2025 21:35,10.2 ms
11/3/2025 21:35,11.8 ms
11/3/2025 21:35,78.6 ms
11/3/2025 21:35,70.8 ms
11/3/2025 21:35,29.9 ms
11/3/2025 21:35,12.8 ms
11/3/2025 21:35,9.96 ms
11/3/2025 21:35,29.9 ms
11/3/2025 21:35,10.7 ms
11/3/2025 21:36,33.0 ms
11/3/2025 21:36,9.18 ms
11/3/2025 21:36,54.3 ms
11/3/2025 21:36,45.9 ms
11/3/2025 21:36,50.1 ms
11/3/2025 21:36,87.8 ms
11/3/2025 21:36,100 ms
11/3/2025 21:36,95.9 ms
11/3/2025 21:36,83.6 ms
11/3/2025 21:36,105 ms
11/3/2025 21:36,83.6 ms
11/3/2025 21:36,96.2 ms
11/3/2025 21:37,100 ms
11/3/2025 21:37,75.0 ms
11/3/2025 21:37,66.8 ms
11/3/2025 21:37,26.0 ms
11/3/2025 21:37,105 ms
11/3/2025 21:37,95.9 ms
11/3/2025 21:37,87.6 ms
11/3/2025 21:37,39.3 ms
11/3/2025 21:37,17.3 ms
11/3/2025 21:37,26.2 ms
11/3/2025 21:37,10.5 ms
11/3/2025 21:37,16.0 ms
11/3/2025 21:38,12.8 ms
11/3/2025 21:38,13.9 ms
11/3/2025 21:38,11.5 ms
11/3/2025 21:38,10.7 ms
11/3/2025 21:38,13.6 ms
11/3/2025 21:38,12.6 ms
11/3/2025 21:38,50.1 ms
11/3/2025 21:38,47.7 ms
11/3/2025 21:38,11.5 ms
11/3/2025 21:38,13.9 ms
11/3/2025 21:38,87.6 ms
11/3/2025 21:38,96.2 ms
11/3/2025 21:39,92.0 ms
11/3/2025 21:39,87.8 ms
11/3/2025 21:39,10.2 ms
11/3/2025 21:39,71.0 ms
11/3/2025 21:39,62.7 ms
11/3/2025 21:39,14.7 ms
11/3/2025 21:39,96.5 ms
11/3/2025 21:39,201 ms
11/3/2025 21:39,117 ms
11/3/2025 21:39,87.6 ms
11/3/2025 21:39,18.4 ms
11/3/2025 21:39,41.4 ms
11/3/2025 21:40,75.0 ms
11/3/2025 21:40,75.2 ms
11/3/2025 21:40,11.8 ms
11/3/2025 21:40,27.0 ms
11/3/2025 21:40,10.7 ms
11/3/2025 21:40,43.8 ms
11/3/2025 21:40,23.9 ms
11/3/2025 21:40,11.8 ms
11/3/2025 21:40,12.8 ms
11/3/2025 21:40,11.8 ms
11/3/2025 21:40,71.0 ms
11/3/2025 21:40,105 ms
11/3/2025 21:41,83.6 ms
11/3/2025 21:41,109 ms
11/3/2025 21:41,100 ms
11/3/2025 21:41,37.5 ms
11/3/2025 21:41,13.9 ms
11/3/2025 21:41,43.5 ms
11/3/2025 21:41,39.6 ms
11/3/2025 21:41,14.9 ms
11/3/2025 21:41,13.6 ms
11/3/2025 21:41,13.6 ms
11/3/2025 21:41,12.6 ms
11/3/2025 21:41,14.9 ms
11/3/2025 21:42,12.6 ms
11/3/2025 21:42,21.8 ms
11/3/2025 21:42,20.4 ms
11/3/2025 21:42,20.4 ms
11/3/2025 21:42,17.3 ms
11/3/2025 21:42,24.6 ms
11/3/2025 21:42,10.5 ms
11/3/2025 21:42,27.8 ms
11/3/2025 21:42,12.8 ms
11/3/2025 21:42,23.9 ms
11/3/2025 21:42,109 ms
11/3/2025 21:42,9.18 ms
11/3/2025 21:43,11.8 ms
11/3/2025 21:43,60.6 ms
11/3/2025 21:43,54.3 ms
11/3/2025 21:43,24.9 ms
11/3/2025 21:43,18.6 ms
11/3/2025 21:43,13.9 ms
